Host species,Common Name,Virus family,Virus genus,Virus name,Baltimore classification,Category,NucAcid,Spherical,Filamentous,Pleomorphic,Bullet-form,Lipid Envelope,Fecal.Oral,Fecal.Oral.Reference,Arbovirus,Arbovirus.Reference,Inhalation.Aerosols,Inhalation.Aerosols.Reference,Inhalation.Dust,Inhalation.Dust.Reference,Sexual,Sexual.Reference,Eating,Eating.Reference,Oral.Bloodstream,Oral.Bloodstream.Reference,Breastfeeding,Breastfeeding.Reference,Congenital/vertical,Congenital/vertical.Reference,Germ.line,Germ.line.Reference,Blood.Products,Blood.Products.Reference,Contact.Skin.or.Eye,Contact.Skin.or.Eye.Reference
Gallus gallus,Chicken,Reoviridae,Orthoreovirus,Avian orthoreovirus,III,,RNA,1,0,0,0,0,1,"Fenner, Frank J.; Gibbs, E. Paul J.; Murphy, Frederick A.; Rott, Rudolph; Studdert, Michael J.; White, David O. (1993). Veterinary Virology (2nd ed.). Academic Press, Inc. ISBN 978-0-12-253056-2",0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Retroviridae,Alpharetrovirus,Avian leukosis virus,VI,,RNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 28662658,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 28662658,0,PubMedNeg,0,PubMedNeg,1,PMID:191622
Gallus gallus,Chicken,Togaviridae,Alphavirus,Eastern equine encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 7707062,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 12804375,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Togaviridae,Alphavirus,Western equine encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 7616515,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Astroviridae,Mamastrovirus,Bovine astrovirus,IV,,RNA,1,0,0,0,0,1,"Fenner, Frank J.; Gibbs, E. Paul J.; Murphy, Frederick A.; Rott, Rudolph; Studdert, Michael J.; White, David O. (1993). Veterinary Virology (2nd ed.). Academic Press, Inc. ISBN 978-0-12-253056-2",0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Caliciviridae,Vesivirus,Bovine calicivirus ,IV,,RNA,1,0,0,0,0,1,PMID: 12239283,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Flaviviridae,Flavivirus,Louping ill virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 24552787 ,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Flaviviridae,Flavivirus,Murray valley encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 6131919,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Flaviviridae,Flavivirus,Wesselsbron virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 1964039,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
